patch_stem,sample,row,col,tumor_frac,hepatocyte_frac,hm11_resemblance,hm11_resemblance_noliver,leaving_score,leaving_score_resid
IU_PDA_T11_patch-001694_41_73,IU_PDA_T11,41,73,0.5229671001434326,2.7260874048806727e-05,-13.242487068282115,-13.028708095109744,-0.6973454282678093,-0.3275436664811902
IU_PDA_T11_patch-001697_51_75,IU_PDA_T11,51,75,0.5690484642982483,0.00029356961022131145,-10.605573257592779,-10.353778696532292,-0.0676336160188218,0.49160876653853
IU_PDA_T11_patch-001704_42_84,IU_PDA_T11,42,84,0.528897762298584,2.5687708330224268e-05,-11.894021672718319,-11.727400325814562,-0.3158725667183449,0.1133076166050891
IU_PDA_T11_patch-001706_75_95,IU_PDA_T11,75,95,0.6999447345733643,1.8794218703988008e-05,-8.699008081485676,-8.416779542252012,-1.627100970071054,-0.9197798952923336
IU_PDA_T11_patch-001708_69_15,IU_PDA_T11,69,15,0.538033664226532,2.7071477234130725e-05,-14.4642861669321,-14.164294091916272,-0.2697349902065502,0.1878342692337739
IU_PDA_T11_patch-001723_64_0,IU_PDA_T11,64,0,0.5241788029670715,4.257938780938275e-05,-12.100710276922708,-11.8279901130985,-0.9669964044879804,-0.6255542802839517
IU_PDA_T11_patch-001730_71_83,IU_PDA_T11,71,83,0.670328676700592,1.9170571249560453e-05,-10.848084837318051,-10.516610762163195,-1.2187573567144192,-0.5384741157176011
IU_PDA_T11_patch-001732_50_8,IU_PDA_T11,50,8,0.593668520450592,1.9469860490062274e-05,-9.753037040696222,-9.23563762070312,-0.9664852937081184,-0.4499306575637999
IU_PDA_T11_patch-001738_68_112,IU_PDA_T11,68,112,0.8108364343643188,2.6811349016497843e-05,-10.84102147130613,-10.773512145155468,-1.5240891282623368,-0.5254184890662766
IU_PDA_T11_patch-001739_34_82,IU_PDA_T11,34,82,0.7233579754829407,2.657072946021799e-05,-10.905662790928673,-10.626490702539943,-0.6361531310223636,0.2455857790290955
IU_PDA_T11_patch-001741_51_17,IU_PDA_T11,51,17,0.5116397142410278,0.0018774870550259948,-11.612616229776751,-11.402731250387724,-0.6392274355489908,-0.2911904681359688
IU_PDA_T11_patch-001743_68_98,IU_PDA_T11,68,98,0.7308138012886047,0.000215388456126675,-8.88187065038044,-8.596078699897912,-1.3339567080355643,-0.5147239019494412
IU_PDA_T11_patch-001748_76_102,IU_PDA_T11,76,102,0.8081362843513489,1.750289993651677e-05,-19.056991336986528,-19.029242297051965,0.1840473009976125,1.374899415104203
IU_PDA_T11_patch-001755_70_110,IU_PDA_T11,70,110,0.6208802461624146,2.7130698072141968e-05,-12.81138226146641,-12.633013473876158,-0.8828204505287395,-0.2879699501654787
IU_PDA_T11_patch-001758_74_98,IU_PDA_T11,74,98,0.5045565366744995,2.607667920528911e-05,-10.115835804381996,-9.790438355787325,-0.8333635473249321,-0.5257851763312278
IU_PDA_T11_patch-001763_59_45,IU_PDA_T11,59,45,0.5336460471153259,3.9140180888352916e-05,-12.630301049525245,-12.308857297004305,-0.1950817176430982,0.2601310818025128
IU_PDA_T11_patch-001764_72_64,IU_PDA_T11,72,64,0.783638060092926,1.8757144061964937e-05,-7.678204623501972,-7.391328560834419,-1.8783050752457315,-0.9894135866536564
IU_PDA_T11_patch-001765_36_8,IU_PDA_T11,36,8,0.8519941568374634,1.8792348782881163e-05,-3.858660394195008,-3.2708690395359206,-2.533050155586482,-1.5482336985161669
IU_PDA_T11_patch-001767_51_7,IU_PDA_T11,51,7,0.6079340577125549,1.870632877398748e-05,-10.267663409883694,-9.774600476853777,-1.0254985450370773,-0.479881847269895
IU_PDA_T11_patch-001768_77_103,IU_PDA_T11,77,103,0.6320454478263855,2.760667666734662e-05,-18.56285878693256,-18.47224830453786,-1.442206943336096,-0.884393760034971
IU_PDA_T11_patch-001769_37_27,IU_PDA_T11,37,27,0.8690252304077148,1.8782777260639705e-05,-3.7235727386905406,-3.12138962821804,-2.2334305450497665,-1.1708076054300818
IU_PDA_T11_patch-001777_31_33,IU_PDA_T11,31,33,0.8988444805145264,1.8686148905544542e-05,-5.638544275442438,-5.029146369965356,-2.0141643159222395,-0.8508804268734352
IU_PDA_T11_patch-001779_64_44,IU_PDA_T11,64,44,0.5564770698547363,2.6958408852806315e-05,-10.629739290200533,-10.250383371067052,0.0618696597118891,0.6045292234911613
IU_PDA_T11_patch-001785_76_88,IU_PDA_T11,76,88,0.6359174251556396,4.3417185224825516e-05,-19.313540578904984,-19.444924674242166,-1.725322166704671,-1.190735540104604
IU_PDA_T11_patch-001786_11_29,IU_PDA_T11,11,29,0.6433356404304504,0.013901551254093647,-20.55080254777951,-20.626320171347743,-1.26087044433306,-0.6534917336534765
IU_PDA_T11_patch-001788_24_2,IU_PDA_T11,24,2,0.6193379759788513,2.9127248126314953e-05,-10.724228007761603,-10.389007619523461,-0.8174859752923419,-0.2189097243913668
IU_PDA_T11_patch-001790_70_108,IU_PDA_T11,70,108,0.5245307087898254,4.177857408649288e-05,-14.365243680324797,-14.147021500168618,-1.2412624715635845,-0.930883536328383
IU_PDA_T11_patch-001805_48_4,IU_PDA_T11,48,4,0.5943922400474548,4.146131323068403e-05,-9.57930577257657,-9.106451504684772,-0.7250412863700492,-0.1785373241691562
IU_PDA_T11_patch-001812_45_9,IU_PDA_T11,45,9,0.5902182459831238,2.8625756385736167e-05,-11.093523477902538,-10.664458910190074,-0.7631118810231732,-0.2315576158160064
IU_PDA_T11_patch-001822_50_6,IU_PDA_T11,50,6,0.6236568093299866,2.8525460948003456e-05,-10.232302103932435,-9.793421657280637,-0.4216411825060449,0.2339273076460723
IU_PDA_T11_patch-001830_22_14,IU_PDA_T11,22,14,0.56179279088974,4.5986100303707644e-05,-15.080904555666057,-14.776756037197265,-2.3304590202716,-2.053094615778867
IU_PDA_T11_patch-001835_54_50,IU_PDA_T11,54,50,0.5081178545951843,2.7002030037692748e-05,-8.288524735639689,-7.940257428308169,0.0033178650565528,0.4173339483859064
IU_PDA_T11_patch-001837_66_114,IU_PDA_T11,66,114,0.653242290019989,2.7832504201796837e-05,-14.791385395991417,-14.704993997114537,0.6560202853498815,1.5116566324710066
IU_PDA_T11_patch-001842_66_112,IU_PDA_T11,66,112,0.7093492746353149,2.712850437092129e-05,-14.164270084190596,-14.045178965069782,-0.6650277736026973,0.1780578787933916
IU_PDA_T11_patch-001847_73_25,IU_PDA_T11,73,25,0.6157792806625366,4.068937778356485e-05,-10.316586458609285,-9.847893956192248,0.0317142440496067,0.720250371339243
IU_PDA_T11_patch-001860_37_79,IU_PDA_T11,37,79,0.6931076645851135,1.853036337706726e-05,-9.905666162184959,-9.75401522914135,-1.4037878312574368,-0.6876760636290671
IU_PDA_T11_patch-001862_27_21,IU_PDA_T11,27,21,0.6927067041397095,1.760517443472054e-05,-9.814650542038729,-9.401144408428475,-0.8472387992244659,-0.0673038340473557
IU_PDA_T11_patch-001869_47_87,IU_PDA_T11,47,87,0.5913308262825012,2.611486524983775e-05,-10.467527895595305,-10.110932906593836,-1.4924986124361386,-1.043109021926345
IU_PDA_T11_patch-001870_75_103,IU_PDA_T11,75,103,0.8415083885192871,1.8519680452300236e-05,-11.516582124698358,-11.357500790143769,-1.9686513313373823,-0.9445020884238916
IU_PDA_T11_patch-001874_46_102,IU_PDA_T11,46,102,0.7983807921409607,2.7485391910886392e-05,-9.382299819041712,-9.177024906305494,-2.472460697394627,-1.6156446058686311
IU_PDA_T11_patch-001912_71_19,IU_PDA_T11,71,19,0.5648244619369507,4.151199391344562e-05,-9.72927223197647,-9.190767593298048,0.1388428817460222,0.7114972627907653
IU_PDA_T11_patch-001927_42_2,IU_PDA_T11,42,2,0.5708982944488525,0.00040072467527352273,-7.209008615151781,-6.692810534836655,-0.4275509898242663,0.0944240012676033
IU_PDA_T11_patch-001934_54_6,IU_PDA_T11,54,6,0.5400957465171814,2.7892021535080858e-05,-10.212091090205053,-9.744643631518334,-0.252661535483752,0.2120912711109977
IU_PDA_T11_patch-001937_69_17,IU_PDA_T11,69,17,0.6210321187973022,2.7894118829863146e-05,-10.869263213519318,-10.47886432357453,0.0476697757175511,0.7512971200176796
IU_PDA_T11_patch-001939_39_75,IU_PDA_T11,39,75,0.5259017944335938,3.816663956968114e-05,-13.932296701015584,-13.660555134429984,-0.0807552894259074,0.3682668683598014
IU_PDA_T11_patch-001942_59_65,IU_PDA_T11,59,65,0.5071030855178833,1.263309513888089e-05,-8.560525333882786,-8.20492492151903,-0.7005441682369943,-0.3710783971155745
IU_PDA_T11_patch-001944_37_9,IU_PDA_T11,37,9,0.8946352601051331,1.9210108803235926e-05,-3.111051479240629,-2.4958564883411136,-2.728901667788976,-1.659482181616181
IU_PDA_T11_patch-001949_60_66,IU_PDA_T11,60,66,0.5880085825920105,1.781495302566327e-05,-7.657055920522281,-7.331531516222195,-1.1055398263342344,-0.619441935175621
IU_PDA_T11_patch-001950_71_61,IU_PDA_T11,71,61,0.5612001419067383,2.6866508051170968e-05,-7.821658398634861,-7.5073212721966485,-0.4981510835489164,-0.0088312224256384
IU_PDA_T11_patch-001961_49_7,IU_PDA_T11,49,7,0.5945020318031311,2.817087442963384e-05,-11.033442663366937,-10.671901938560097,-0.6719622160442688,-0.1189984114497282
IU_PDA_T11_patch-001967_33_25,IU_PDA_T11,33,25,0.9581881761550903,1.9401431927690282e-05,-7.602309466376631,-7.037983454936497,-3.302149317636555,-2.139410891084719
IU_PDA_T11_patch-001968_41_77,IU_PDA_T11,41,77,0.5293228030204773,3.967003067373298e-05,-12.917452941380267,-12.682354952848275,0.0426806065522569,0.514699937341689
IU_PDA_T11_patch-001972_47_97,IU_PDA_T11,47,97,0.5467545986175537,4.268905468052253e-05,-15.475837617676977,-15.16820784811178,0.2519326231873017,0.7922408415680211
IU_PDA_T11_patch-001988_76_66,IU_PDA_T11,76,66,0.7665926218032837,1.7603557353140786e-05,-6.401559995262555,-6.200985896618513,-0.9838046533714504,-0.0336509278091283
IU_PDA_T11_patch-001999_45_15,IU_PDA_T11,45,15,0.5727314949035645,0.0006400346173904836,-12.272413366068756,-11.871579337989177,-0.6993226644490749,-0.2043887269831623
IU_PDA_T11_patch-002000_50_2,IU_PDA_T11,50,2,0.6797863841056824,2.8229407689650543e-05,-7.428750846981831,-6.963126320387844,-1.4186379780357563,-0.7378140379202062
IU_PDA_T11_patch-002008_54_76,IU_PDA_T11,54,76,0.6397222876548767,2.6566427550278604e-05,-10.937706144911967,-10.632944826656491,-1.532777223699333,-0.96617582910431
IU_PDA_T11_patch-002011_49_83,IU_PDA_T11,49,83,0.5437965989112854,1.8390554032521322e-05,-13.011241398857763,-12.778562751338836,-1.1325725060387746,-0.7609990083562083
IU_PDA_T11_patch-002012_55_73,IU_PDA_T11,55,73,0.5953350067138672,1.7744550859788433e-05,-9.139272440733018,-8.855459062459962,-1.9047226327629163,-1.4932666486391457
IU_PDA_T11_patch-002017_54_14,IU_PDA_T11,54,14,0.6310903429985046,2.7470367058413103e-05,-11.234489273016806,-10.84214372817382,-0.6180031835914829,0.0334167576861465
IU_PDA_T11_patch-002033_71_63,IU_PDA_T11,71,63,0.7284470796585083,2.7941554435528815e-05,-8.229597833199096,-7.842319911289062,-1.812054574310389,-1.0544781917059027
IU_PDA_T11_patch-002036_25_49,IU_PDA_T11,25,49,0.5688862204551697,6.233168096514419e-05,-13.823666430863295,-13.446007146580435,-0.5538752177672897,-0.0516845899601101
IU_PDA_T11_patch-002038_40_72,IU_PDA_T11,40,72,0.5714559555053711,0.0004364827473182231,-12.835570171239814,-12.697862297741937,-0.8834149473638767,-0.4131394446539293
IU_PDA_T11_patch-002040_42_80,IU_PDA_T11,42,80,0.5017046332359314,0.0010959296487271786,-13.674647296058012,-13.613745854496626,-0.5349394027565582,-0.1997814258924481
IU_PDA_T11_patch-002045_53_3,IU_PDA_T11,53,3,0.6747760772705078,2.9256400011945516e-05,-9.123009793735061,-8.68483070806751,-1.899260222342264,-1.2870462841279668
IU_PDA_T11_patch-002048_63_49,IU_PDA_T11,63,49,0.5109637379646301,2.6777024686452933e-05,-8.748573883154327,-8.35163172867921,0.6045445225932446,1.0957675605990105
IU_PDA_T11_patch-002055_28_16,IU_PDA_T11,28,16,0.6411910057067871,2.8740614652633667e-05,-10.68275585112067,-10.30347239586506,-0.0915019374033782,0.6466957421300107
IU_PDA_T11_patch-002061_27_29,IU_PDA_T11,27,29,0.6035606265068054,4.0611615986563265e-05,-11.846649859811375,-11.377077430260114,0.3776907801319196,1.0757499918346254
IU_PDA_T11_patch-002072_45_97,IU_PDA_T11,45,97,0.7667591571807861,1.9298277038615197e-05,-9.485861459026843,-9.323805225781225,-1.1478156077923585,-0.2163482515632834
IU_PDA_T11_patch-002076_72_24,IU_PDA_T11,72,24,0.5681203603744507,4.095081749255769e-05,-7.92133032466021,-7.3548571969403955,1.3556104150239217,2.0783107100840192
IU_PDA_T11_patch-002086_25_17,IU_PDA_T11,25,17,0.5505961775779724,0.0002353519812459126,-12.09997895288383,-11.737503711327127,0.2323016044602265,0.7800003751469118
IU_PDA_T11_patch-002091_68_94,IU_PDA_T11,68,94,0.6670055985450745,0.0014293998247012496,-17.0350053491669,-16.890696226422023,-1.5052167663938336,-0.8666748633498805
IU_PDA_T11_patch-002092_31_27,IU_PDA_T11,31,27,0.8985697627067566,1.931870065163821e-05,-6.125757490411023,-5.494027183737628,-2.4394515544575817,-1.326402086740212
IU_PDA_T11_patch-002097_44_14,IU_PDA_T11,44,14,0.6003048419952393,4.1511051676934585e-05,-12.009807304009092,-11.626609166076825,0.8236882051271572,1.5655006393321558
IU_PDA_T11_patch-002100_59_61,IU_PDA_T11,59,61,0.5378991961479187,1.8565069694886915e-05,-7.735888709271236,-7.369824330499941,-0.4115123440764259,0.029202308877125
IU_PDA_T11_patch-002103_68_36,IU_PDA_T11,68,36,0.6408759951591492,1.2947504728799686e-05,-10.024291520409934,-9.690344379791043,-0.6364570330621464,0.0374644274569287
IU_PDA_T11_patch-002110_58_62,IU_PDA_T11,58,62,0.5048360824584961,1.796965443645604e-05,-8.713283331014846,-8.474460687041427,-0.8115816608908331,-0.5007616744410347
IU_PDA_T11_patch-002111_40_2,IU_PDA_T11,40,2,0.5596692562103271,2.6967700250679627e-05,-8.397565665501284,-7.8141294001084844,-0.3593647914418349,0.1422660158816486
IU_PDA_T11_patch-002113_60_50,IU_PDA_T11,60,50,0.7070464491844177,1.3496964129444677e-05,-10.602375792183894,-10.31646150611868,0.1066899308702795,1.0338730881110847
IU_PDA_T11_patch-002120_35_35,IU_PDA_T11,35,35,0.7954232692718506,2.8279491743887775e-05,-6.369327747100853,-5.7363903079067775,-0.0891276330789073,1.03787628976962
IU_PDA_T11_patch-002128_68_24,IU_PDA_T11,68,24,0.5633700489997864,4.12794433941599e-05,-10.115787661952902,-9.714646868097946,0.1020482643600356,0.666752541562744
IU_PDA_T11_patch-002130_63_115,IU_PDA_T11,63,115,0.5309725999832153,0.000523243797942996,-16.530348397902102,-16.35963899508295,-1.327208093495417,-1.0106131977120056
IU_PDA_T11_patch-002162_73_93,IU_PDA_T11,73,93,0.7004891633987427,1.9022583728656173e-05,-11.957251456316651,-11.81910371646562,-1.7161237384751844,-1.0178015830915434
IU_PDA_T11_patch-002163_66_98,IU_PDA_T11,66,98,0.7788078188896179,1.8193577489000745e-05,-8.448931807648929,-8.187050818238383,-1.6612623120719825,-0.7592551329413327
IU_PDA_T11_patch-002168_53_77,IU_PDA_T11,53,77,0.6207365393638611,0.0009025506442412734,-11.513570093942446,-11.24366858885683,-2.1618832494257743,-1.716394785203081
IU_PDA_T11_patch-002171_60_48,IU_PDA_T11,60,48,0.5790504813194275,2.6653226086637005e-05,-9.777295432830464,-9.36114521748082,0.2476416950033496,0.8688072766420393
IU_PDA_T11_patch-002175_55_11,IU_PDA_T11,55,11,0.5512415170669556,4.059770435560495e-05,-14.690990062696104,-14.337823266297733,-0.5461325283819807,-0.0874890766266363
IU_PDA_T11_patch-002177_65_99,IU_PDA_T11,65,99,0.5759639739990234,2.0527391825453378e-05,-9.371831009133949,-9.0535675013433,-1.193909521998585,-0.7484477750076358
IU_PDA_T11_patch-002181_61_79,IU_PDA_T11,61,79,0.5393887758255005,2.7914737074752338e-05,-13.403049668564325,-13.227010841000205,-1.3490434912595046,-1.01379087393996
IU_PDA_T11_patch-002182_40_86,IU_PDA_T11,40,86,0.6062376499176025,2.5147855922114104e-05,-13.52035300200331,-13.365791071318117,0.0116458392137437,0.6738076490952125
IU_PDA_T11_patch-002184_72_62,IU_PDA_T11,72,62,0.6238658428192139,0.0009600465418770909,-8.956846348115194,-8.723368192233036,-1.334985277415221,-0.7852870855884637
IU_PDA_T11_patch-002191_69_25,IU_PDA_T11,69,25,0.5241566896438599,4.006724338978529e-05,-6.9156063579721705,-6.342196572815648,-0.4229165274364077,-0.0181493954534584
IU_PDA_T11_patch-002197_20_44,IU_PDA_T11,20,44,0.5245254635810852,6.655161269009113e-05,-17.8445158949117,-17.630781051501046,-0.4410492402236564,-0.0374654302639614
IU_PDA_T11_patch-002203_64_46,IU_PDA_T11,64,46,0.7531201243400574,2.7610367396846414e-05,-17.304599182632074,-16.9580218503834,-0.5505347280214329,0.4161524427099147
IU_PDA_T11_patch-002205_47_7,IU_PDA_T11,47,7,0.5827541947364807,4.01170073018875e-05,-10.270054900276525,-9.99492340455063,0.6200152943997201,1.2938893581093087
IU_PDA_T11_patch-002212_26_6,IU_PDA_T11,26,6,0.7120912075042725,2.013245648413431e-05,-7.263305785528999,-6.7270331469679014,-0.7642704318712582,0.0741615476963734
IU_PDA_T11_patch-002214_54_8,IU_PDA_T11,54,8,0.573701798915863,2.7522488380782306e-05,-10.971705667024269,-10.63732632340527,-1.205760413090173,-0.7673778865220374
IU_PDA_T11_patch-002226_67_99,IU_PDA_T11,67,99,0.734388530254364,0.0018286989070475101,-9.50377047536448,-9.291302134596902,-1.8353767727699104,-1.065549999462434
IU_PDA_T11_patch-002233_54_10,IU_PDA_T11,54,10,0.5630646347999573,2.8470760298660025e-05,-12.246826576307575,-11.889932503988218,-1.5655951013924465,-1.1959265773659322
IU_PDA_T11_patch-002240_67_113,IU_PDA_T11,67,113,0.7746326327323914,1.8782980987452902e-05,-10.674862399809896,-10.334803600354437,-0.4425391603029889,0.5909211835333684
IU_PDA_T11_patch-002244_49_5,IU_PDA_T11,49,5,0.5892996788024902,2.6971483748639002e-05,-10.798016352263888,-10.361814348280099,-1.7385198128579025,-1.3229063211522674
IU_PDA_T11_patch-002245_70_24,IU_PDA_T11,70,24,0.6238545775413513,4.074884418514557e-05,-7.560641853848389,-7.021599216894622,0.6823877296292021,1.4670644725289956
IU_PDA_T11_patch-002251_44_16,IU_PDA_T11,44,16,0.5964580774307251,4.154664566158317e-05,-10.563153995275137,-10.130141808072874,-0.7670768319470871,-0.2202655627444428
IU_PDA_T11_patch-002256_74_104,IU_PDA_T11,74,104,0.6230633854866028,1.2579737813211977e-05,-8.735510808766463,-8.532986023676294,-2.1836139589380354,-1.7347953332088024
