gene,corr_resid,corr_raw,sign_agreement,in_core,in_heldout,is_epithelial
ACP5,0.00803994,-0.009833232,2.0,False,False,False
ACP6,-0.0037321886,-0.03598212,-2.0,False,False,False
ACP7,-0.005460175,-0.007840519,0.0,False,False,False
ACPP,0.020059124,0.005793919,4.0,False,False,False
ACR,-0.0052802437,-0.0056334133,-2.0,False,False,False
ACRBP,-0.03404333,-0.03547254,-4.0,False,False,False
ACRV1,-0.0101658525,-0.0033421488,-4.0,False,False,False
ACSBG1,-0.008006021,-0.0065199807,-1.0,False,False,False
ACSBG2,-0.0035100733,0.0034262752,0.0,False,False,False
ACSF2,0.006388042,-0.053617835,0.0,False,False,False
ACSF3,-0.004049422,-0.03069623,-2.0,False,False,False
ACSL1,0.022111885,0.019014934,2.0,False,False,False
ACSL3,-0.015409736,-0.022292625,-2.0,False,False,False
ACSL4,-0.005542059,-0.022022361,2.0,False,False,False
ACSL5,-0.011140381,-0.07760449,0.0,False,False,False
ACSL6,-0.008138527,-0.019399133,0.0,False,False,False
ACSM1,0.003495036,0.0029355972,1.0,False,False,False
ACSM3,-0.009800322,-0.01358265,-2.0,False,False,False
ACSM4,-0.0006303567,-0.003035246,-1.0,False,False,False
ACSM5,-0.00745432,-0.017517015,0.0,False,False,False
ACSM6,-0.00040027965,0.0033118057,2.0,False,False,False
ACSS1,-0.027366463,-0.07552183,-4.0,False,False,False
ACSS2,-0.024751881,-0.06585141,0.0,False,False,False
ACSS3,-0.01731743,-0.0066000754,-2.0,False,False,False
ACTA2,0.035343885,0.22568089,4.0,False,False,False
ACTB,0.07311959,0.11424576,4.0,False,False,False
ACTC1,0.005196835,-0.02671428,2.0,False,False,False
ACTG2,0.045391887,0.020066593,2.0,False,False,False
ACTL6A,-0.0112972,-0.02333599,-2.0,False,False,False
ACTL6B,-0.0014356261,-0.0027989026,-1.0,False,False,False
ACTL7A,0.0,0.0,0.0,False,False,False
ACTL7B,0.0,0.0,0.0,False,False,False
ACTL8,-0.018203933,-0.03203471,-3.0,False,False,False
ACTL9,0.003245017,0.0004037108,1.0,False,False,False
ACTN1,0.015612592,0.06069495,2.0,False,False,False
ACTN2,-0.008232934,-0.000441608,-2.0,False,False,False
ACTN3,0.004369799,0.007261988,1.0,False,False,False
ACTN4,0.012884438,-0.022878854,0.0,False,False,False
ACTR10,-0.013726028,-0.02161036,-2.0,False,False,False
ACTR1A,-0.0074563585,-0.0073309466,0.0,False,False,False
ACTR1B,-0.007851614,-0.022530984,0.0,False,False,False
ACTR3,-0.017605023,-0.029929988,-2.0,False,False,False
ACTR3B,-0.007408396,-0.010203826,-2.0,False,False,False
ACTR3C,-0.03502546,-0.06597161,-4.0,False,False,False
ACTR5,-0.0054171374,-0.029385678,0.0,False,False,False
ACTR6,0.0018712145,-0.0045447955,2.0,False,False,False
ACTR8,-0.013503212,-0.021295063,-4.0,False,False,False
ACTRT1,0.0016274821,0.0019733112,1.0,False,False,False
ACTRT2,0.0,0.0,0.0,False,False,False
ACTRT3,-0.014763557,-0.007305807,0.0,False,False,False
ACVR1,-0.008074136,-0.00065030064,-4.0,False,False,False
ACVR1B,0.011416741,-0.016271139,2.0,False,False,False
ACVR1C,-0.0043047,-0.012634363,-2.0,False,False,False
ACVR2A,-0.010889894,-0.0063352827,-2.0,False,False,False
ACVR2B,-0.011508034,-0.007876808,-2.0,False,False,False
ACVRL1,0.016671406,0.01493223,4.0,False,False,False
ACY1,-0.011019068,-0.032149356,-2.0,False,False,False
ACY3,0.005648004,-0.0020998833,2.0,False,False,False
ACYP1,-0.012711499,-0.036801852,-2.0,False,False,False
ACYP2,-0.020966528,-0.05651719,-2.0,False,False,False
ADA,0.0007854095,-0.0117311,-2.0,False,False,False
ADA2,-0.0075793015,-0.0155069595,-2.0,False,False,False
ADAD1,0.0115358895,0.014560656,1.0,False,False,False
ADAD2,-0.018270552,-0.020223264,-4.0,False,False,False
ADAL,-0.019324932,-0.012385956,-4.0,False,False,False
ADAM10,0.008160153,-0.017098071,0.0,False,False,False
ADAM11,-0.008036156,-0.004678934,-2.0,False,False,False
ADAM12,0.03305666,0.09426987,4.0,False,False,False
ADAM15,0.01605773,-0.016081959,2.0,False,False,False
ADAM17,0.00016853027,0.001588469,0.0,False,False,False
ADAM18,-0.0018465528,-0.0032802785,-2.0,False,False,False
ADAM19,-0.010983025,0.017972507,0.0,False,False,False
