sample,patient,site,Epithelial,Bcells,Tcells,Plasma,Myeloid,NK,CAF,myCAF,Endothelial,Hepatocyte,Lung,Mesothelial,EMT,Proliferation,Hypoxia,Interferon
Pt-13E,Pt13,PM,0.3201154894571557,-0.09883428450845035,-0.0667353599402313,-0.024073825964298523,0.9505902489885385,-0.03959840603147929,0.48945549307696384,0.4430950648252968,0.36234568272460144,0.03398766576732009,-0.08672492952057437,0.08489314492259935,0.45890944808009043,0.49140585818962307,0.8389516633765085,0.07803891678335048
Pt-1A,Pt1,T,1.5976393769205917,-0.07506873105299919,-0.07029027042374912,-0.02852336921638365,0.5712325946508419,-0.06748400671270056,1.0146875528098558,0.7008722969560369,0.11505733922635487,-0.02745498662789928,-0.0767704712396737,0.33320647020160427,0.5716336474652273,0.010816286007931187,1.2241359664956988,0.21237741108851269
Pt-1C,Pt1,PM,1.7777084489466406,-0.06992334863924733,-0.07361588725765471,-0.00810688558366137,0.7522392801354914,-0.05756082690884896,1.1200206337111986,0.9541360125133154,0.12977074493588178,-0.02305833086362585,-0.08486838971762924,0.2695976305859397,0.6424126140568567,0.02704173968180467,1.385954196586664,0.2269556546012889
Pt-2A,Pt2,T,1.5743553556286267,-0.05099225494332507,0.0013335046341748156,0.07432579146176202,1.300240427699575,-0.06347635227306296,1.3113318489871555,1.2937503745076433,0.16185850567960694,0.09610764532668123,-0.0762546502027878,0.12286354323494839,0.6629560145307724,-0.029420570639880433,1.1106174618944353,0.13265693626774347
Pt-2B,Pt2,LuM,2.264300022617331,-0.03219883534761992,-0.053222077197667604,0.2881022279162502,0.5782555154735257,-0.0805310341942122,0.25803280929506844,0.47115057501460816,0.15251785660591205,-0.004857636447306342,0.4112230771525041,0.006369875987714367,0.1021893816583969,0.009729489327912498,1.1773836530517074,0.07442038031801275
Pt-2C,Pt2,PM,1.4205616007527795,0.010075290330103464,-0.03358428435073153,0.27573532092977304,1.3061224690647262,-0.05716613131073406,1.9989543292598273,1.554851675836202,0.6386749959187119,0.13501838657873572,-0.081648992008469,0.1611968025533358,0.7035011818149768,-0.023183990958612538,0.8579766026941585,0.15370867140675692
Pt-3A,Pt3,T,1.243785589773887,-0.07784079830501654,-0.0716105754943601,0.012044626232071889,0.19971451304847748,-0.07536376874952994,0.6249963747065312,0.4162342836809488,0.0862008437842084,0.20194848763841386,-0.07420851785114724,0.010892409666355365,0.5853012993243116,0.15964485485536453,1.0240179078396936,0.1948122679954115
Pt-3B,Pt3,HM,1.1258698467787647,0.16420353254684822,-0.05866691514857612,0.07492269843734331,0.4221001021220701,-0.06429895516301318,1.4375583316862055,1.1579117060815138,0.14171090735784206,0.39403815368439654,-0.06143763682173366,0.22466171730305778,0.6981553073092159,-0.007548700804575528,1.0939036209232336,0.318836230378398
Pt-3C,Pt3,PM,1.3066976238347157,-0.07546992962463785,-0.06515731388991523,-0.013432191100647025,0.5125072712660865,-0.08047791691574838,1.3878130968707292,1.2842653238774129,0.20853034965288744,0.1727357722134407,-0.07659489738617484,0.0931743391106733,0.6705600807850783,0.1814802185738926,1.0003147936389287,0.29450911369693805
Pt-4A,Pt4,T,1.401828536317721,-0.08336271325080258,0.010045712164559913,0.07182777722928121,1.0946792269333128,0.01806546011573051,1.7146349462009511,0.6994265350961534,0.1246426087312667,0.2526423157509754,-0.09665277367470691,0.15047220159480176,0.9218377627579001,0.1589276691389077,1.2576817714667847,0.19156417171873694
Pt-4B,Pt4,HM,1.6187997239701541,-0.08311640000623555,-0.07416645277887267,-0.004789804089184125,0.1960618430750335,-0.08198135924544547,0.609427848726973,0.32154280612346464,-0.04279831336925846,0.16846433811354808,-0.08495977429254382,0.2176151512151487,0.798742634458827,-0.023430446474887262,2.0800279814886213,0.33951692707858466
Pt-4C,Pt4,LuM,1.32664819438433,0.12153936013385207,0.053735209754499885,0.38758530837649224,0.921869475385079,0.03509306708429858,1.2453267223234434,0.7643984105671923,0.29905092547041184,0.01261646461524108,0.1514524761634597,0.15570775921533503,0.5907941025156441,0.2213535128934206,1.1808440769625215,0.5268332777598768
Pt-4D,Pt4,PM,1.5676549955297885,-0.029911089464380786,-0.04107957525188443,0.024202931727408165,0.4060157359073391,-0.07520934644924465,1.046850161913349,1.1291447607685539,0.15045859229767217,0.01573907655632371,-0.08517087968717149,0.1115870351346991,0.7491454903810874,0.20997899528997208,1.8671691688810208,0.5635171255710096
Pt-5A,Pt5,T,1.6541610543074385,-0.06834912671055553,-0.0647102136103646,0.004085774717558661,0.2965119347324695,-0.057230734299392565,0.7058011723567575,0.7094230056083254,0.11899177566540044,0.09002564882016062,-0.07531033419295084,0.3047354156002741,0.3345936627000742,0.05073640367137423,0.9232861786229752,0.11479850588449768
Pt-5B,Pt5,HM,1.6130025527861722,-0.08277727775383989,-0.07707310942015577,-0.012058751430649372,0.2813841004291867,-0.07314686769814889,0.26699154766566796,0.5804153009966495,-0.05951730762307388,1.3923593598679234,-0.07360057597545296,0.22826764431479724,0.2867541236591582,0.08224075503695094,1.6308028714730909,0.20486235770480776
Pt-5C,Pt5,HM,1.5014014496022037,-0.08041119975407482,-0.07888397303982851,-0.016142303041656328,0.34181760064670924,-0.06548084775011871,0.4957147538900556,0.5825805914579059,-0.03928101299215343,0.6944079499761492,-0.08546322424733402,0.28279656273196657,0.33295832652512736,0.04131151150299756,1.6214845765546706,0.23430407661994979
Pt-6A,Pt6,T,1.676829271725617,-0.08090465218721134,-0.06416695348857837,0.003079791202385891,0.6674997904476464,-0.06917763760000001,1.6945055927146224,1.4800025655462798,0.2503718801387568,-0.01750154180677696,-0.08692708598596688,0.1841949643400543,0.7930658901708795,0.01731271436642799,1.3197756316512976,0.157769662739563
Pt-6B,Pt6,HM,0.6784823058178783,-0.03355836358360574,-0.03457986877623529,0.10166551664979362,0.2268920449885006,-0.05024470124125931,0.4287419524862142,0.4114738082284946,0.13044994180449326,3.7769501154209912,-0.060272035219143205,-0.01134806386220762,0.38474736832041934,-0.026356524976176306,0.8796829037686112,0.08952046420448694
